Section_EN;SubSection_EN;Section_PL;SubSection_PL;Product_EN;Product_PL;Product_CHI;Price
Broths 兄弟會;N/A;BULIONY 汤底;N/A;N/A;N/A;N/A;N/A
Broths 兄弟會;Sizes 尺⼨;BULIONY 汤底;ROZMIARY 尺⼨;N/A;N/A;N/A;N/A
Broths 兄弟會;Sizes 尺⼨;BULIONY 汤底;ROZMIARY 尺⼨; SMALL BROTH 1 PERSON; BULION MAŁY 1 OS.;⼩湯;18 PLN
Broths 兄弟會;Sizes 尺⼨;BULIONY 汤底;ROZMIARY 尺⼨; LARGE BROTH 2-6 PEOPLE; BULION DUŻY 2-6 OS.;⼤湯; 38 PLN
Broths 兄弟會;Sizes 尺⼨;BULIONY 汤底;ROZMIARY 尺⼨; MAXI BROTH <6 PEOPLE; BULION MAXI <6 OS.;⼤湯; 48 PLN
Broths 兄弟會;Flavors ⼝味;BULIONY 汤底;SMAKI ⼝味;SPICY BROTH; BULION OSTRY;辣湯;N/A
Broths 兄弟會;Flavors ⼝味;BULIONY 汤底;SMAKI ⼝味; SPICY-SOUR BROTH; BULION OSTRO-KWAŚNY;酸辣湯;N/A
Broths 兄弟會;Flavors ⼝味;BULIONY 汤底;SMAKI ⼝味; MUSHROOM BROTH; BULION GRZYBOWY;蘑菇湯;N/A
Broths 兄弟會;Flavors ⼝味;BULIONY 汤底;SMAKI ⼝味; TOMATO BROTH; BULION POMIDOROWY;番茄湯;N/A
Broths 兄弟會;Flavors ⼝味;BULIONY 汤底;SMAKI ⼝味; TOM YUM BROTH; BULION TOM YUM;冬蔭功湯;N/A
INGREDIENTS 原料;N/A;SKŁADNIKI 原料;N/A;N/A;N/A;N/A;N/A
INGREDIENTS 原料;Seafood 海鮮;SKŁADNIKI 原料;OWOCE MORZA 海鮮;N/A;N/A;N/A;N/A
INGREDIENTS 原料;Seafood 海鮮;SKŁADNIKI 原料;OWOCE MORZA 海鮮;WHOLE SHRIMP; KREWETKI CAŁE;明虾;38 PLN
INGREDIENTS 原料;Seafood 海鮮;SKŁADNIKI 原料;OWOCE MORZA 海鮮; COCKTAIL SHRIMP; KREWETKI KOKTAJLOWE;虾仁; 35 PLN
INGREDIENTS 原料;Seafood 海鮮;SKŁADNIKI 原料;OWOCE MORZA 海鮮; FISH SLICES; PLASTRY RYBY;鲜⻥⽚; 28 PLN
INGREDIENTS 原料;Seafood 海鮮;SKŁADNIKI 原料;OWOCE MORZA 海鮮; FISH TOFU; TOFU RYBNE;⿂⾖腐; 22 PLN
INGREDIENTS 原料;Seafood 海鮮;SKŁADNIKI 原料;OWOCE MORZA 海鮮; CRAB STICKS; PALUSZKI KRABOWE;蟹⾁棒; 22 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜;N/A;N/A;N/A;N/A
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; ENOKI MUSHROOMS;GRZYBY ENOKI;⾦針菇;22 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; SHIMEJI MUSHROOMS; GRZYBY SHIMEJI;姬菇; 22 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; FRESH SHITAKE; ŚWIEŻE SHITAKE;新鮮⾹菇; 22 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; MUN MUSHROOMS (WHITE); GRZYBY MUN (BIAŁE);蒙吉（⽩⾊）; 17 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; MUN MUSHROOMS (BLACK); GRZYBY MUN (CZARNE);蒙吉（⿊⾊）; 15 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; CHINESE CABBAGE; KAPUSTA PEKIŃSKA;⽩菜; 15 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; CORN; KUKURYDZA;⽟⽶; 22 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; CAULIFLOWER; KALAFIOR;花椰菜; 22 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; BAMBOO; BAMBUS;⽵⼦; 25 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; BEEN SPROUTS; KIEŁKI FASOLI;⾖芽; 16 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; SEAWEED; ALGI MORSKIE;海藻; 18 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; SPINACH; SZPINAK;菠菜; 25 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; WHITE RADISH; RZODKIEW BIAŁA;⽩蘿蔔; 16 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; SLICED POTATOES; ZIEMNIAKI W PLASTERKACH;洋芋⽚; 12 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; CURLY POTATOES; ZIEMNIAKI KRĘCONE;捲曲⾺鈴薯; 15 PLN
INGREDIENTS 原料;Vegetables 蔬菜;SKŁADNIKI 原料;Warzywa 蔬菜; PAK CHOI; PAK CHOI;⽩菜; 25 PLN
INGREDIENTS 原料;Meat ⾁;SKŁADNIKI 原料;MIĘSA ⾁;N/A;N/A;N/A;N/A
INGREDIENTS 原料;Meat ⾁;SKŁADNIKI 原料;MIĘSA ⾁;LAMB;BARANINA;⽺⾁;46 PLN
INGREDIENTS 原料;Meat ⾁;SKŁADNIKI 原料;MIĘSA ⾁; BEEF; WOŁOWINA;⽜⾁; 43 PLN
INGREDIENTS 原料;Meat ⾁;SKŁADNIKI 原料;MIĘSA ⾁; BLACK TRIPE; FLAKI CZARNE;⿊⽜肚; 48 PLN
INGREDIENTS 原料;Meat ⾁;SKŁADNIKI 原料;MIĘSA ⾁; WHITE TRIPE; FLAKI BIAŁE;⽩肚; 38 PLN
INGREDIENTS 原料;Meat ⾁;SKŁADNIKI 原料;MIĘSA ⾁; SPICY BEEF; PIKANTNA WOŁOWINA;辣⽜⾁; 35 PLN
INGREDIENTS 原料;Meat ⾁;SKŁADNIKI 原料;MIĘSA ⾁; PORK LOIN; POLĘDWICA WIEPRZOWA;豬裡肌⾁; 42 PLN
INGREDIENTS 原料;Meat ⾁;SKŁADNIKI 原料;MIĘSA ⾁; BEEF LOIN; POLĘDWICA WOŁOWA;西冷⽜排; 58 PLN
INGREDIENTS 原料;TOFU ⾖腐;SKŁADNIKI 原料;TOFU ⾖腐;N/A;N/A;N/A;N/A
INGREDIENTS 原料;TOFU ⾖腐;SKŁADNIKI 原料;TOFU ⾖腐;FRESH TOFU;ŚWIEŻE TOFU;鮮⾖腐;22 PLN
INGREDIENTS 原料;TOFU ⾖腐;SKŁADNIKI 原料;TOFU ⾖腐; TOFU SLICES; TOFU W PASKACH;⾖腐條; 18 PLN
INGREDIENTS 原料;TOFU ⾖腐;SKŁADNIKI 原料;TOFU ⾖腐; FRIED TOFU; TOFU SMAŻONE ;炸⾖腐; 18 PLN
INGREDIENTS 原料;Meatballs ⾁丸;SKŁADNIKI 原料;PULPETY ⾁丸;N/A;N/A;N/A;N/A
INGREDIENTS 原料;Meatballs ⾁丸;SKŁADNIKI 原料;PULPETY ⾁丸;BEEF MEATBALLS; PULPETY WOŁOWE;⽜⾁丸;36 PLN
INGREDIENTS 原料;Meatballs ⾁丸;SKŁADNIKI 原料;PULPETY ⾁丸; FISH MEATBALLS; PULPETY RYBNE;⿂丸;36 PLN
INGREDIENTS 原料;Noodles 義⼤利麵;SKŁADNIKI 原料;MAKARONY ⾯⻝;N/A;N/A;N/A;N/A
INGREDIENTS 原料;Noodles 義⼤利麵;SKŁADNIKI 原料;MAKARONY ⾯⻝;WHEAT NOODLES; MAKARON PSZENNY ;⼩⿆麵⻝;20 PLN
INGREDIENTS 原料;Noodles 義⼤利麵;SKŁADNIKI 原料;MAKARONY ⾯⻝; KONJAC NOODLES;MAKARON KONJAC;蒟蒻意麵; 18 PLN
INGREDIENTS 原料;Noodles 義⼤利麵;SKŁADNIKI 原料;MAKARONY ⾯⻝; RICE NOODLES; KLUSKI RYŻOWE;粽⼦; 24 PLN
INGREDIENTS 原料;Sets 套;SKŁADNIKI 原料;ZESTAWY 套;N/A;N/A;N/A;N/A
INGREDIENTS 原料;Sets 套;SKŁADNIKI 原料;ZESTAWY 套;SET - 1 PERSON; ZESTAW - 1 OS.;单⼈套餐;120 PLN
INGREDIENTS 原料;Sets 套;SKŁADNIKI 原料;ZESTAWY 套;SET FOR TWO ; ZESTAW DLA DWOJGA;双⼈套餐; 189 PLN
Test;N/A;Test;N/A;N/A;N/A;N/A;N/A
Test;Test;Test;Test;N/A;N/A;N/A;N/A
Test;Test;Test;Test;Test;Test;Test;Test
